Season,Name,ERA,K9,BB9,HR9
2015,A.J. Burnett,3.18,7.85,2.69,0.6
2015,Felix Hernandez,3.53,8.52,2.59,1.03
2013,Rick Porcello,4.32,7.22,2.14,0.92
2015,Jake Odorizzi,3.35,7.97,2.44,0.96
2014,Nathan Eovaldi,4.37,6.4,1.94,0.63
2010,Doug Fister,4.11,4.89,1.68,0.68
2014,Bartolo Colon,4.09,6.72,1.33,0.98
2014,Ervin Santana,3.95,8.22,2.89,0.73
2017,Ervin Santana,3.28,7.11,2.6,1.32
2016,Gio Gonzalez,4.57,8.68,2.99,0.96
2012,Tommy Milone,3.74,6.49,1.71,1.14
2017,Sonny Gray,3.55,8.48,3.16,1.05
2012,Ryan Dempster,3.38,7.96,2.71,0.99
2012,Lance Lynn,3.78,9.2,3.27,0.82
2017,Zach Davies,3.9,5.83,2.59,0.94
2016,Bartolo Colon,3.43,6.01,1.5,1.13
2012,Rick Porcello,4.59,5.46,2.25,0.82
2010,Carl Pavano,3.75,4.76,1.51,0.98
2014,Rick Porcello,3.43,5.67,1.8,0.79
2012,Lucas Harrell,3.76,6.51,3.62,0.6
2014,Alex Cobb,2.87,8.06,2.54,0.6
2011,Bartolo Colon,4,7.39,2.19,1.15
2012,Matt Moore,3.81,8.88,4.11,0.91
2015,Wei-Yin Chen,3.34,7.2,1.93,1.32
2014,Matt Garza,3.64,6.94,2.76,0.66
2015,Garrett Richards,3.65,7.64,3.3,0.87
2012,Jeff Samardzija,3.81,9.27,2.89,1.03
2010,Jaime Garcia,2.7,7.27,3.53,0.5
2017,Masahiro Tanaka,4.74,9.79,2.07,1.77
2012,Homer Bailey,3.68,7.27,2.25,1.12
2011,Jon Lester,3.47,8.55,3.52,0.94
2013,Travis Wood,3.11,6.48,2.97,0.81
2016,Dallas Keuchel,4.55,7.71,2.57,1.07
2016,Zach Davies,3.97,7.44,2.09,1.1
2011,Hiroki Kuroda,3.07,7.17,2.18,1.07
2013,Jeff Samardzija,4.34,9.01,3.29,1.05
2016,Danny Duffy,3.51,9.42,2.1,1.35
2015,Ubaldo Jimenez,4.11,8.22,3.33,0.98
2017,Jon Lester,4.33,8.97,2.99,1.3
2016,Trevor Bauer,4.26,7.96,3.32,0.95
2010,R.A. Dickey,2.84,5.37,2.17,0.67
2012,Jon Niese,3.4,7.33,2.32,1.04
2013,Bud Norris,4.18,7.49,3.41,0.87
2017,Dylan Bundy,4.24,8.06,2.71,1.38
2012,Chris Capuano,3.72,7.35,2.45,1.13
